Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2018-05-23,15,22,µg/mc
"Parco S. Chiara",PM10,2018-05-23,16,25,µg/mc
"Parco S. Chiara",PM10,2018-05-23,17,18,µg/mc
"Parco S. Chiara",PM10,2018-05-23,18,19,µg/mc
"Parco S. Chiara",PM10,2018-05-23,19,16,µg/mc
"Parco S. Chiara",PM10,2018-05-23,20,17,µg/mc
"Parco S. Chiara",PM10,2018-05-23,21,21,µg/mc
"Parco S. Chiara",PM10,2018-05-23,22,19,µg/mc
"Parco S. Chiara",PM10,2018-05-23,23,18,µg/mc
"Parco S. Chiara",PM10,2018-05-23,24,17,µg/mc
"Parco S. Chiara",PM10,2018-05-24,1,21,µg/mc
"Parco S. Chiara",PM10,2018-05-24,2,20,µg/mc
"Parco S. Chiara",PM10,2018-05-24,3,20,µg/mc
"Parco S. Chiara",PM10,2018-05-24,4,17,µg/mc
"Parco S. Chiara",PM10,2018-05-24,5,18,µg/mc
"Parco S. Chiara",PM10,2018-05-24,6,17,µg/mc
"Parco S. Chiara",PM10,2018-05-24,7,18,µg/mc
"Parco S. Chiara",PM10,2018-05-24,8,17,µg/mc
"Parco S. Chiara",PM10,2018-05-24,9,14,µg/mc
"Parco S. Chiara",PM10,2018-05-24,10,11,µg/mc
"Parco S. Chiara",PM10,2018-05-24,11,9,µg/mc
"Parco S. Chiara",PM10,2018-05-24,12,6,µg/mc
"Parco S. Chiara",PM10,2018-05-24,13,5,µg/mc
"Parco S. Chiara",PM10,2018-05-24,14,3,µg/mc
"Parco S. Chiara",PM10,2018-05-24,15,5,µg/mc
"Parco S. Chiara",PM10,2018-05-24,16,8,µg/mc
"Parco S. Chiara",PM10,2018-05-24,17,10,µg/mc
"Parco S. Chiara",PM10,2018-05-24,18,10,µg/mc
"Parco S. Chiara",PM10,2018-05-24,19,11,µg/mc
"Parco S. Chiara",PM10,2018-05-24,20,10,µg/mc
"Parco S. Chiara",PM10,2018-05-24,21,18,µg/mc
"Parco S. Chiara",PM10,2018-05-24,22,22,µg/mc
"Parco S. Chiara",PM10,2018-05-24,23,23,µg/mc
"Parco S. Chiara",PM10,2018-05-24,24,20,µg/mc
"Parco S. Chiara",PM10,2018-05-25,1,17,µg/mc
"Parco S. Chiara",PM10,2018-05-25,2,20,µg/mc
"Parco S. Chiara",PM10,2018-05-25,3,20,µg/mc
"Parco S. Chiara",PM10,2018-05-25,4,19,µg/mc
"Parco S. Chiara",PM10,2018-05-25,5,17,µg/mc
"Parco S. Chiara",PM10,2018-05-25,6,15,µg/mc
"Parco S. Chiara",PM10,2018-05-25,7,13,µg/mc
"Parco S. Chiara",PM10,2018-05-25,8,10,µg/mc
"Parco S. Chiara",PM10,2018-05-25,9,8,µg/mc
"Parco S. Chiara",PM10,2018-05-25,10,4,µg/mc
"Parco S. Chiara",PM10,2018-05-25,11,3,µg/mc
"Parco S. Chiara",PM10,2018-05-25,12,2,µg/mc
"Parco S. Chiara",PM10,2018-05-25,13,1,µg/mc
"Parco S. Chiara",PM10,2018-05-25,14,0,µg/mc
"Parco S. Chiara",PM10,2018-05-25,15,0,µg/mc
"Parco S. Chiara",PM10,2018-05-25,16,3,µg/mc
"Parco S. Chiara",PM10,2018-05-25,17,11,µg/mc
"Parco S. Chiara",PM10,2018-05-25,18,16,µg/mc
"Parco S. Chiara",PM10,2018-05-25,19,22,µg/mc
"Parco S. Chiara",PM10,2018-05-25,20,35,µg/mc
"Parco S. Chiara",PM10,2018-05-25,21,41,µg/mc
"Parco S. Chiara",PM10,2018-05-25,22,47,µg/mc
"Parco S. Chiara",PM10,2018-05-25,23,45,µg/mc
"Parco S. Chiara",PM10,2018-05-25,24,44,µg/mc
"Parco S. Chiara",PM10,2018-05-26,1,43,µg/mc
"Parco S. Chiara",PM10,2018-05-26,2,39,µg/mc
"Parco S. Chiara",PM10,2018-05-26,3,45,µg/mc
"Parco S. Chiara",PM10,2018-05-26,4,46,µg/mc
"Parco S. Chiara",PM10,2018-05-26,5,44,µg/mc
"Parco S. Chiara",PM10,2018-05-26,6,35,µg/mc
"Parco S. Chiara",PM10,2018-05-26,7,35,µg/mc
"Parco S. Chiara",PM10,2018-05-26,8,28,µg/mc
"Parco S. Chiara",PM10,2018-05-26,9,26,µg/mc
"Parco S. Chiara",PM10,2018-05-26,10,21,µg/mc
"Parco S. Chiara",PM10,2018-05-26,11,18,µg/mc
"Parco S. Chiara",PM10,2018-05-26,12,20,µg/mc
"Parco S. Chiara",PM10,2018-05-26,13,18,µg/mc
"Parco S. Chiara",PM10,2018-05-26,14,13,µg/mc
"Parco S. Chiara",PM10,2018-05-26,15,10,µg/mc
"Parco S. Chiara",PM10,2018-05-26,16,11,µg/mc
"Parco S. Chiara",PM10,2018-05-26,17,17,µg/mc
"Parco S. Chiara",PM10,2018-05-26,18,37,µg/mc
"Parco S. Chiara",PM10,2018-05-26,19,47,µg/mc
"Parco S. Chiara",PM10,2018-05-26,20,57,µg/mc
"Parco S. Chiara",PM10,2018-05-26,21,50,µg/mc
"Parco S. Chiara",PM10,2018-05-26,22,40,µg/mc
"Parco S. Chiara",PM10,2018-05-26,23,52,µg/mc
"Parco S. Chiara",PM10,2018-05-26,24,43,µg/mc
"Parco S. Chiara",PM10,2018-05-27,1,43,µg/mc
"Parco S. Chiara",PM10,2018-05-27,2,45,µg/mc
"Parco S. Chiara",PM10,2018-05-27,3,47,µg/mc
"Parco S. Chiara",PM10,2018-05-27,4,45,µg/mc
"Parco S. Chiara",PM10,2018-05-27,5,48,µg/mc
"Parco S. Chiara",PM10,2018-05-27,6,36,µg/mc
"Parco S. Chiara",PM10,2018-05-27,7,33,µg/mc
"Parco S. Chiara",PM10,2018-05-27,8,31,µg/mc
"Parco S. Chiara",PM10,2018-05-27,9,14,µg/mc
"Parco S. Chiara",PM10,2018-05-27,10,13,µg/mc
"Parco S. Chiara",PM10,2018-05-27,11,16,µg/mc
"Parco S. Chiara",PM10,2018-05-27,12,20,µg/mc
"Parco S. Chiara",PM10,2018-05-27,13,20,µg/mc
"Parco S. Chiara",PM10,2018-05-27,14,14,µg/mc
"Parco S. Chiara",PM10,2018-05-27,15,13,µg/mc
"Parco S. Chiara",PM10,2018-05-27,16,15,µg/mc
"Parco S. Chiara",PM10,2018-05-27,17,32,µg/mc
"Parco S. Chiara",PM10,2018-05-27,18,63,µg/mc
"Parco S. Chiara",PM10,2018-05-27,19,56,µg/mc
"Parco S. Chiara",PM10,2018-05-27,20,46,µg/mc
"Parco S. Chiara",PM10,2018-05-27,21,41,µg/mc
"Parco S. Chiara",PM10,2018-05-27,22,29,µg/mc
"Parco S. Chiara",PM10,2018-05-27,23,23,µg/mc
"Parco S. Chiara",PM10,2018-05-27,24,25,µg/mc
"Parco S. Chiara",PM10,2018-05-28,1,17,µg/mc
"Parco S. Chiara",PM10,2018-05-28,2,13,µg/mc
"Parco S. Chiara",PM10,2018-05-28,3,16,µg/mc
"Parco S. Chiara",PM10,2018-05-28,4,13,µg/mc
"Parco S. Chiara",PM10,2018-05-28,5,13,µg/mc
"Parco S. Chiara",PM10,2018-05-28,6,12,µg/mc
"Parco S. Chiara",PM10,2018-05-28,7,13,µg/mc
"Parco S. Chiara",PM10,2018-05-28,8,12,µg/mc
"Parco S. Chiara",PM10,2018-05-28,9,11,µg/mc
"Parco S. Chiara",PM10,2018-05-28,10,12,µg/mc
"Parco S. Chiara",PM10,2018-05-28,11,9,µg/mc
"Parco S. Chiara",PM10,2018-05-28,12,8,µg/mc
"Parco S. Chiara",PM10,2018-05-28,13,6,µg/mc
"Parco S. Chiara",PM10,2018-05-28,14,5,µg/mc
"Parco S. Chiara",PM10,2018-05-28,15,5,µg/mc
"Parco S. Chiara",PM10,2018-05-28,16,4,µg/mc
"Parco S. Chiara",PM10,2018-05-28,17,6,µg/mc
"Parco S. Chiara",PM10,2018-05-28,18,13,µg/mc
"Parco S. Chiara",PM10,2018-05-28,19,19,µg/mc
"Parco S. Chiara",PM10,2018-05-28,20,28,µg/mc
"Parco S. Chiara",PM10,2018-05-28,21,32,µg/mc
"Parco S. Chiara",PM10,2018-05-28,22,29,µg/mc
"Parco S. Chiara",PM10,2018-05-28,23,31,µg/mc
"Parco S. Chiara",PM10,2018-05-28,24,29,µg/mc
"Parco S. Chiara",PM10,2018-05-29,1,26,µg/mc
"Parco S. Chiara",PM10,2018-05-29,2,24,µg/mc
"Parco S. Chiara",PM10,2018-05-29,3,21,µg/mc
"Parco S. Chiara",PM10,2018-05-29,4,26,µg/mc
"Parco S. Chiara",PM10,2018-05-29,5,27,µg/mc
"Parco S. Chiara",PM10,2018-05-29,6,16,µg/mc
"Parco S. Chiara",PM10,2018-05-29,7,15,µg/mc
"Parco S. Chiara",PM10,2018-05-29,8,16,µg/mc
"Parco S. Chiara",PM10,2018-05-29,9,12,µg/mc
"Parco S. Chiara",PM10,2018-05-29,10,11,µg/mc
"Parco S. Chiara",PM10,2018-05-29,13,11,µg/mc
"Parco S. Chiara",PM10,2018-05-29,14,15,µg/mc
"Parco S. Chiara",PM10,2018-05-29,15,18,µg/mc
"Parco S. Chiara",PM10,2018-05-29,16,20,µg/mc
"Parco S. Chiara",PM10,2018-05-29,17,25,µg/mc
"Parco S. Chiara",PM10,2018-05-29,18,23,µg/mc
"Parco S. Chiara",PM10,2018-05-29,19,20,µg/mc
"Parco S. Chiara",PM10,2018-05-29,20,21,µg/mc
"Parco S. Chiara",PM10,2018-05-29,21,20,µg/mc
"Parco S. Chiara",PM10,2018-05-29,22,20,µg/mc
"Parco S. Chiara",PM10,2018-05-29,23,18,µg/mc
"Parco S. Chiara",PM10,2018-05-29,24,20,µg/mc
"Parco S. Chiara",PM10,2018-05-30,1,23,µg/mc
"Parco S. Chiara",PM10,2018-05-30,2,22,µg/mc
"Parco S. Chiara",PM10,2018-05-30,3,24,µg/mc
"Parco S. Chiara",PM10,2018-05-30,4,25,µg/mc
"Parco S. Chiara",PM10,2018-05-30,5,23,µg/mc
"Parco S. Chiara",PM10,2018-05-30,6,24,µg/mc
"Parco S. Chiara",PM10,2018-05-30,7,26,µg/mc
"Parco S. Chiara",PM10,2018-05-30,8,22,µg/mc
"Parco S. Chiara",PM10,2018-05-30,9,18,µg/mc
"Parco S. Chiara",PM10,2018-05-30,10,16,µg/mc
"Parco S. Chiara",PM10,2018-05-30,11,13,µg/mc
"Parco S. Chiara",PM10,2018-05-30,12,10,µg/mc
"Parco S. Chiara",PM10,2018-05-30,13,7,µg/mc
"Parco S. Chiara",PM10,2018-05-30,14,7,µg/mc
"Parco S. Chiara",PM10,2018-05-30,15,14,µg/mc
"Parco S. Chiara",PM10,2018-05-30,16,28,µg/mc
"Parco S. Chiara",PM10,2018-05-30,17,34,µg/mc
"Parco S. Chiara",PM10,2018-05-30,18,29,µg/mc
"Parco S. Chiara",PM10,2018-05-30,19,34,µg/mc
"Parco S. Chiara",PM10,2018-05-30,20,38,µg/mc
"Parco S. Chiara",PM10,2018-05-30,21,43,µg/mc
"Parco S. Chiara",PM10,2018-05-30,22,46,µg/mc
"Parco S. Chiara",PM10,2018-05-30,23,41,µg/mc
"Parco S. Chiara",PM10,2018-05-30,24,36,µg/mc
"Parco S. Chiara",PM10,2018-05-31,1,33,µg/mc
"Parco S. Chiara",PM10,2018-05-31,2,34,µg/mc
"Parco S. Chiara",PM10,2018-05-31,3,29,µg/mc
"Parco S. Chiara",PM10,2018-05-31,4,32,µg/mc
"Parco S. Chiara",PM10,2018-05-31,5,32,µg/mc
"Parco S. Chiara",PM10,2018-05-31,6,28,µg/mc
"Parco S. Chiara",PM10,2018-05-31,7,27,µg/mc
"Parco S. Chiara",PM10,2018-05-31,8,23,µg/mc
"Parco S. Chiara",PM10,2018-05-31,9,25,µg/mc
"Parco S. Chiara",PM10,2018-05-31,10,22,µg/mc
"Parco S. Chiara",PM10,2018-05-31,11,21,µg/mc
"Parco S. Chiara",PM10,2018-05-31,12,20,µg/mc
"Parco S. Chiara",PM10,2018-05-31,13,19,µg/mc
"Parco S. Chiara",PM10,2018-05-31,14,16,µg/mc
"Parco S. Chiara",PM10,2018-05-31,15,15,µg/mc
"Parco S. Chiara",PM10,2018-05-31,16,18,µg/mc
"Parco S. Chiara",PM10,2018-05-31,17,23,µg/mc
"Parco S. Chiara",PM10,2018-05-31,18,27,µg/mc
"Parco S. Chiara",PM10,2018-05-31,19,29,µg/mc
"Parco S. Chiara",PM10,2018-05-31,20,26,µg/mc
"Parco S. Chiara",PM10,2018-05-31,21,23,µg/mc
"Parco S. Chiara",PM10,2018-05-31,22,23,µg/mc
"Parco S. Chiara",PM10,2018-05-31,23,26,µg/mc
"Parco S. Chiara",PM10,2018-05-31,24,28,µg/mc
"Parco S. Chiara",PM10,2018-06-01,1,27,µg/mc
"Parco S. Chiara",PM10,2018-06-01,2,28,µg/mc
"Parco S. Chiara",PM10,2018-06-01,3,35,µg/mc
"Parco S. Chiara",PM10,2018-06-01,4,38,µg/mc
