Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-02-13,15,8,µg/mc
"Parco S. Chiara",PM10,2019-02-13,16,9,µg/mc
"Parco S. Chiara",PM10,2019-02-13,17,12,µg/mc
"Parco S. Chiara",PM10,2019-02-13,18,13,µg/mc
"Parco S. Chiara",PM10,2019-02-13,19,19,µg/mc
"Parco S. Chiara",PM10,2019-02-13,20,23,µg/mc
"Parco S. Chiara",PM10,2019-02-13,21,25,µg/mc
"Parco S. Chiara",PM10,2019-02-13,22,28,µg/mc
"Parco S. Chiara",PM10,2019-02-13,23,29,µg/mc
"Parco S. Chiara",PM10,2019-02-13,24,28,µg/mc
"Parco S. Chiara",PM10,2019-02-14,1,24,µg/mc
"Parco S. Chiara",PM10,2019-02-14,2,23,µg/mc
"Parco S. Chiara",PM10,2019-02-14,3,24,µg/mc
"Parco S. Chiara",PM10,2019-02-14,4,23,µg/mc
"Parco S. Chiara",PM10,2019-02-14,5,22,µg/mc
"Parco S. Chiara",PM10,2019-02-14,6,22,µg/mc
"Parco S. Chiara",PM10,2019-02-14,7,19,µg/mc
"Parco S. Chiara",PM10,2019-02-14,8,20,µg/mc
"Parco S. Chiara",PM10,2019-02-14,9,21,µg/mc
"Parco S. Chiara",PM10,2019-02-14,10,16,µg/mc
"Parco S. Chiara",PM10,2019-02-14,11,14,µg/mc
"Parco S. Chiara",PM10,2019-02-14,12,11,µg/mc
"Parco S. Chiara",PM10,2019-02-14,13,11,µg/mc
"Parco S. Chiara",PM10,2019-02-14,14,11,µg/mc
"Parco S. Chiara",PM10,2019-02-14,15,12,µg/mc
"Parco S. Chiara",PM10,2019-02-14,16,12,µg/mc
"Parco S. Chiara",PM10,2019-02-14,17,15,µg/mc
"Parco S. Chiara",PM10,2019-02-14,18,27,µg/mc
"Parco S. Chiara",PM10,2019-02-14,19,34,µg/mc
"Parco S. Chiara",PM10,2019-02-14,20,35,µg/mc
"Parco S. Chiara",PM10,2019-02-14,21,41,µg/mc
"Parco S. Chiara",PM10,2019-02-14,22,39,µg/mc
"Parco S. Chiara",PM10,2019-02-14,23,39,µg/mc
"Parco S. Chiara",PM10,2019-02-14,24,35,µg/mc
"Parco S. Chiara",PM10,2019-02-15,1,32,µg/mc
"Parco S. Chiara",PM10,2019-02-15,2,28,µg/mc
"Parco S. Chiara",PM10,2019-02-15,3,25,µg/mc
"Parco S. Chiara",PM10,2019-02-15,4,22,µg/mc
"Parco S. Chiara",PM10,2019-02-15,5,21,µg/mc
"Parco S. Chiara",PM10,2019-02-15,6,17,µg/mc
"Parco S. Chiara",PM10,2019-02-15,7,17,µg/mc
"Parco S. Chiara",PM10,2019-02-15,8,19,µg/mc
"Parco S. Chiara",PM10,2019-02-15,9,22,µg/mc
"Parco S. Chiara",PM10,2019-02-15,10,22,µg/mc
"Parco S. Chiara",PM10,2019-02-15,11,15,µg/mc
"Parco S. Chiara",PM10,2019-02-15,12,12,µg/mc
"Parco S. Chiara",PM10,2019-02-15,13,11,µg/mc
"Parco S. Chiara",PM10,2019-02-15,14,10,µg/mc
"Parco S. Chiara",PM10,2019-02-15,15,11,µg/mc
"Parco S. Chiara",PM10,2019-02-15,16,10,µg/mc
"Parco S. Chiara",PM10,2019-02-15,17,17,µg/mc
"Parco S. Chiara",PM10,2019-02-15,18,28,µg/mc
"Parco S. Chiara",PM10,2019-02-15,19,30,µg/mc
"Parco S. Chiara",PM10,2019-02-15,20,33,µg/mc
"Parco S. Chiara",PM10,2019-02-15,21,34,µg/mc
"Parco S. Chiara",PM10,2019-02-15,22,39,µg/mc
"Parco S. Chiara",PM10,2019-02-15,23,36,µg/mc
"Parco S. Chiara",PM10,2019-02-15,24,34,µg/mc
"Parco S. Chiara",PM10,2019-02-16,1,31,µg/mc
"Parco S. Chiara",PM10,2019-02-16,2,27,µg/mc
"Parco S. Chiara",PM10,2019-02-16,3,24,µg/mc
"Parco S. Chiara",PM10,2019-02-16,4,22,µg/mc
"Parco S. Chiara",PM10,2019-02-16,5,21,µg/mc
"Parco S. Chiara",PM10,2019-02-16,6,20,µg/mc
"Parco S. Chiara",PM10,2019-02-16,7,18,µg/mc
"Parco S. Chiara",PM10,2019-02-16,8,18,µg/mc
"Parco S. Chiara",PM10,2019-02-16,9,17,µg/mc
"Parco S. Chiara",PM10,2019-02-16,10,15,µg/mc
"Parco S. Chiara",PM10,2019-02-16,11,14,µg/mc
"Parco S. Chiara",PM10,2019-02-16,12,10,µg/mc
"Parco S. Chiara",PM10,2019-02-16,13,8,µg/mc
"Parco S. Chiara",PM10,2019-02-16,14,7,µg/mc
"Parco S. Chiara",PM10,2019-02-16,15,7,µg/mc
"Parco S. Chiara",PM10,2019-02-16,16,8,µg/mc
"Parco S. Chiara",PM10,2019-02-16,17,9,µg/mc
"Parco S. Chiara",PM10,2019-02-16,18,13,µg/mc
"Parco S. Chiara",PM10,2019-02-16,19,26,µg/mc
"Parco S. Chiara",PM10,2019-02-16,20,30,µg/mc
"Parco S. Chiara",PM10,2019-02-16,21,32,µg/mc
"Parco S. Chiara",PM10,2019-02-16,22,34,µg/mc
"Parco S. Chiara",PM10,2019-02-16,23,30,µg/mc
"Parco S. Chiara",PM10,2019-02-16,24,29,µg/mc
